language,uni_lemma,lexical_class,category,definition,word_clean
English (American),get,verbs,action_words,get,get
English (American),giraffe,nouns,animals,giraffe,giraffe
English (American),give,verbs,action_words,give,give
English (American),glass,nouns,household,glass,glass
English (American),glasses,nouns,household,glasses,glasses
English (American),gloves,nouns,clothing,gloves,gloves
English (American),glue,nouns,toys,glue,glue
English (American),go,verbs,action_words,go,go
English (American),gonna,function_words,helping_verbs,gonna/going to,gonna
English (American),good,adjectives,descriptive_words,good,good
English (American),goose,nouns,animals,goose,goose
English (American),gotta,function_words,helping_verbs,gotta/got to,gotta
English (American),grapes,nouns,food_drink,grapes,grapes
English (American),grass,nouns,outside,grass,grass
English (American),green,adjectives,descriptive_words,green,green
English (American),green beans,nouns,food_drink,green beans,green beans
English (American),gum,nouns,food_drink,gum,gum
English (American),hafta,function_words,helping_verbs,hafta/have to,hafta
English (American),hair,nouns,body_parts,hair,hair
English (American),hamburger,nouns,food_drink,hamburger,hamburger
English (American),hammer,nouns,household,hammer,hammer
English (American),hand,nouns,body_parts,hand,hand
English (American),happy,adjectives,descriptive_words,happy,happy
English (American),hard,adjectives,descriptive_words,hard,hard
English (American),hat,nouns,clothing,hat,hat
English (American),hate,verbs,action_words,hate,hate
English (American),have,verbs,action_words,have,have
English (American),he,function_words,pronouns,he,he
English (American),head,nouns,body_parts,head,head
English (American),hear,verbs,action_words,hear,hear
English (American),heavy,adjectives,descriptive_words,heavy,heavy
English (American),helicopter,nouns,vehicles,helicopter,helicopter
English (American),help,verbs,action_words,help,help
English (American),hen,nouns,animals,hen,hen
English (American),her,function_words,pronouns,her,her
English (American),here,function_words,locations,here,here
English (American),hers,function_words,pronouns,hers,hers
English (American),hide,verbs,action_words,hide,hide
English (American),high,adjectives,descriptive_words,high,high
English (American),high chair,nouns,furniture_rooms,high chair,high chair
English (American),him,function_words,pronouns,him,him
